,Data,UF-Cidade,Temp. Min.,Temp. Max.,Nasc. Sol,Por Sol,% Chuva,IUV,UF,Cidade
0,2019-12-20,SP/São-Paulo,19,29,0 days 05:37:00.000000000,0 days 18:41:00.000000000,87,13,SP,São Paulo
1,2019-12-20,RJ/Rio-de-Janeiro,23,29,0 days 05:04:00.000000000,0 days 18:36:00.000000000,80,13,RJ,Rio de Janeiro
2,2019-12-20,BA/Salvador,24,31,0 days 05:04:00.000000000,0 days 17:58:00.000000000,5,12,BA,Salvador
3,2019-12-20,DF/Brasília,19,29,0 days 05:37:00.000000000,0 days 18:41:00.000000000,87,13,DF,Brasília
4,2019-12-20,CE/Fortaleza,26,32,0 days 05:21:00.000000000,0 days 17:41:00.000000000,7,11,CE,Fortaleza
5,2019-12-20,MG/Belo-Horizonte,20,30,0 days 05:13:00.000000000,0 days 18:33:00.000000000,87,13,MG,Belo Horizonte
6,2019-12-20,AM/Manaus,25,35,0 days 06:48:00.000000000,0 days 19:06:00.000000000,7,12,AM,Manaus
7,2019-12-20,PR/Curitiba,16,26,0 days 05:22:00.000000000,0 days 19:06:00.000000000,90,13,PR,Curitiba
8,2019-12-20,PE/Recife,25,31,0 days 04:59:00.000000000,0 days 17:34:00.000000000,70,12,PE,Recife
9,2019-12-20,RS/Porto-Alegre,20,34,0 days 05:19:00.000000000,0 days 19:24:00.000000000,7,12,RS,Porto Alegre
10,2019-12-20,PA/Belém,19,29,0 days 05:37:00.000000000,0 days 18:41:00.000000000,87,13,PA,Belém
11,2019-12-20,GO/Goiânia,19,29,0 days 05:37:00.000000000,0 days 18:41:00.000000000,87,13,GO,Goiânia
12,2019-12-20,SP/Guarulhos,18,30,0 days 05:16:00.000000000,0 days 18:51:00.000000000,80,13,SP,Guarulhos
13,2019-12-20,SP/Campinas,19,28,0 days 05:19:00.000000000,0 days 18:52:00.000000000,80,13,SP,Campinas
14,2019-12-20,MA/São-Luís,19,29,0 days 05:37:00.000000000,0 days 18:41:00.000000000,87,13,MA,São Luís
15,2019-12-20,RJ/São-Gonçalo,19,29,0 days 05:37:00.000000000,0 days 18:41:00.000000000,87,13,RJ,São Gonçalo
16,2019-12-20,AL/Maceió,19,29,0 days 05:37:00.000000000,0 days 18:41:00.000000000,87,13,AL,Maceió
17,2019-12-20,RJ/Duque-de-Caxias,23,29,0 days 05:04:00.000000000,0 days 18:36:00.000000000,80,13,RJ,Duque de Caxias
18,2019-12-20,RN/Natal,25,30,0 days 05:04:00.000000000,0 days 17:32:00.000000000,5,12,RN,Natal
19,2019-12-20,MS/Campo-Grande,21,29,0 days 05:54:00.000000000,0 days 19:17:00.000000000,80,13,MS,Campo Grande
20,2019-12-20,PI/Teresina,24,39,0 days 05:36:00.000000000,0 days 18:01:00.000000000,5,11,PI,Teresina
21,2019-12-20,SP/São-Bernardo-do-Campo,19,29,0 days 05:37:00.000000000,0 days 18:41:00.000000000,87,13,SP,São Bernardo do Campo
22,2019-12-20,RJ/Nova-Iguaçu,19,29,0 days 05:37:00.000000000,0 days 18:41:00.000000000,87,13,RJ,Nova Iguaçu
23,2019-12-20,PB/João-Pessoa,19,29,0 days 05:37:00.000000000,0 days 18:41:00.000000000,87,13,PB,João Pessoa
24,2019-12-20,SP/Santo-André,19,29,0 days 05:37:00.000000000,0 days 18:41:00.000000000,87,13,SP,Santo André
25,2019-12-20,SP/Osasco,18,31,0 days 05:17:00.000000000,0 days 18:52:00.000000000,80,13,SP,Osasco
26,2019-12-20,SP/São-José-dos-Campos,19,29,0 days 05:37:00.000000000,0 days 18:41:00.000000000,87,13,SP,São José dos Campos
27,2019-12-20,PE/Jaboatão-dos-Guararapes,19,29,0 days 05:37:00.000000000,0 days 18:41:00.000000000,87,13,PE,Jaboatão dos Guararapes
28,2019-12-20,SP/Ribeirão-Preto,19,29,0 days 05:37:00.000000000,0 days 18:41:00.000000000,87,13,SP,Ribeirão Preto
29,2019-12-20,MG/Uberlândia,19,29,0 days 05:37:00.000000000,0 days 18:41:00.000000000,87,13,MG,Uberlândia
30,2019-12-20,MG/Contagem,20,30,0 days 05:13:00.000000000,0 days 18:33:00.000000000,87,13,MG,Contagem
31,2019-12-20,SP/Sorocaba,19,28,0 days 05:19:00.000000000,0 days 18:54:00.000000000,80,13,SP,Sorocaba
32,2019-12-20,SE/Aracaju,24,31,0 days 05:02:00.000000000,0 days 17:48:00.000000000,5,12,SE,Aracaju
33,2019-12-20,BA/Feira-de-Santana,20,32,0 days 05:07:00.000000000,0 days 17:58:00.000000000,5,12,BA,Feira de Santana
34,2019-12-20,MT/Cuiabá,19,29,0 days 05:37:00.000000000,0 days 18:41:00.000000000,87,13,MT,Cuiabá
35,2019-12-20,SC/Joinville,18,27,0 days 05:19:00.000000000,0 days 19:06:00.000000000,80,13,SC,Joinville
36,2019-12-20,MG/Juiz-de-Fora,19,26,0 days 05:06:00.000000000,0 days 18:34:00.000000000,90,13,MG,Juiz de Fora
37,2019-12-20,PR/Londrina,20,29,0 days 05:34:00.000000000,0 days 19:09:00.000000000,80,13,PR,Londrina
38,2019-12-20,GO/Aparecida-de-Goiânia,19,29,0 days 05:37:00.000000000,0 days 18:41:00.000000000,87,13,GO,Aparecida de Goiânia
39,2019-12-20,PA/Ananindeua,24,33,0 days 06:04:00.000000000,0 days 18:17:00.000000000,80,11,PA,Ananindeua
40,2019-12-20,RJ/Niterói,19,29,0 days 05:37:00.000000000,0 days 18:41:00.000000000,87,13,RJ,Niterói
