,Data,UF-Cidade,Temp. Min.,Temp. Max.,Nasc. Sol,Por Sol,% Chuva,IUV,UF,Cidade
91,2019-12-19,RN/Mossoró,20,25,0 days 05:36:00.000000000,0 days 18:40:00.000000000,90,13,RN,Mossoró
92,2019-12-19,SP/Suzano,19,23,0 days 05:14:00.000000000,0 days 18:49:00.000000000,80,13,SP,Suzano
93,2019-12-19,BA/Camaçari,20,25,0 days 05:36:00.000000000,0 days 18:40:00.000000000,90,13,BA,Camaçari
94,2019-12-19,MG/Governador-Valadares,21,33,0 days 05:06:00.000000000,0 days 18:22:00.000000000,5,13,MG,Governador Valadares
95,2019-12-19,RS/Santa-Maria,16,32,0 days 05:30:00.000000000,0 days 19:33:00.000000000,5,12,RS,Santa Maria
96,2019-12-19,RS/Gravataí,20,25,0 days 05:36:00.000000000,0 days 18:40:00.000000000,90,13,RS,Gravataí
97,2019-12-19,SP/Taboão-da-Serra,20,25,0 days 05:36:00.000000000,0 days 18:40:00.000000000,90,13,SP,Taboão da Serra
98,2019-12-19,MT/Várzea-Grande,20,25,0 days 05:36:00.000000000,0 days 18:40:00.000000000,90,13,MT,Várzea Grande
99,2019-12-19,TO/Palmas,22,35,0 days 05:48:00.000000000,0 days 18:32:00.000000000,80,12,TO,Palmas
100,2019-12-19,CE/Juazeiro-do-Norte,25,37,0 days 05:17:00.000000000,0 days 17:50:00.000000000,5,12,CE,Juazeiro do Norte
101,2019-12-19,PR/Foz-do-Iguaçu,20,25,0 days 05:36:00.000000000,0 days 18:40:00.000000000,90,13,PR,Foz do Iguaçu
102,2019-12-19,SP/Sumaré,20,25,0 days 05:36:00.000000000,0 days 18:40:00.000000000,90,13,SP,Sumaré
103,2019-12-19,RJ/Volta-Redonda,20,28,0 days 05:07:00.000000000,0 days 18:38:00.000000000,90,13,RJ,Volta Redonda
104,2019-12-19,SP/Barueri,19,24,0 days 05:16:00.000000000,0 days 18:52:00.000000000,73,13,SP,Barueri
105,2019-12-19,SP/Embu-das-Artes,20,25,0 days 05:36:00.000000000,0 days 18:40:00.000000000,90,13,SP,Embu das Artes
106,2019-12-19,PA/Marabá,20,25,0 days 05:36:00.000000000,0 days 18:40:00.000000000,90,13,PA,Marabá
107,2019-12-19,MG/Ipatinga,21,30,0 days 05:07:00.000000000,0 days 18:26:00.000000000,5,13,MG,Ipatinga
108,2019-12-19,MA/Imperatriz,25,35,0 days 05:53:00.000000000,0 days 18:20:00.000000000,80,12,MA,Imperatriz
